id,employee_id,department,performance_score,years_with_company,salary
715,557,Marketing,1.12,26,99003.36
716,340,Training,1.66,19,46879.57
717,936,Marketing,3.6,6,89521.89
718,998,Human Resources,2.83,28,83712.99
719,929,Support,4.62,3,40147.53
720,232,Support,2.53,28,96409.15
721,466,Support,2.52,9,64880.76
722,372,Legal,2.1,27,75769.55
723,865,Legal,2.67,13,70796.9
724,572,Sales,3.82,27,64474.99
725,775,Sales,4.82,3,72083.19
726,497,Accounting,3.29,2,41512.15
727,477,Services,2.67,12,39047.67
728,89,Research and Development,4.45,5,57685.2
729,482,Legal,3.55,7,65613.84
730,683,Services,2.9,13,49335.81
731,202,Support,3.59,23,85123.17
732,316,Marketing,2.11,13,37171.3
733,145,Training,3.05,5,71804.59
734,500,Research and Development,1.61,19,95054.91
735,340,Business Development,1.62,16,53601.19
736,339,Training,3.68,23,41319.31
737,165,Services,2.28,13,85519.15
738,124,Engineering,3.77,28,59737.11
739,997,Services,4.45,3,47913.44
740,904,Product Management,1.59,13,88596.29
741,154,Engineering,3.22,9,90448.9
742,198,Training,4.62,9,81881.9
743,896,Services,4.15,28,41706.81
744,962,Training,2.61,30,97735.38
745,871,Sales,4.81,20,39320.06
746,46,Legal,2.14,9,34058.27
747,731,Services,1.3,29,75235.86
748,654,Legal,4.0,29,72751.01
749,831,Legal,2.0,10,44518.79
750,541,Marketing,3.51,9,66337.25
751,447,Services,1.7,22,89595.14
752,264,Sales,4.41,20,37091.1
753,460,Services,4.4,23,69045.74
754,364,Research and Development,4.98,25,52009.49
755,125,Marketing,3.29,30,68589.49
756,825,Product Management,1.8,21,83045.28
757,923,Legal,3.91,5,87438.15
758,941,Legal,2.12,6,69125.87
759,415,Services,4.45,11,89992.48
760,846,Services,2.33,20,73609.31
761,30,Sales,1.56,20,74508.73
762,371,Training,4.35,26,87095.5
763,61,Sales,4.42,15,47019.84
764,932,Human Resources,3.09,28,64950.54
765,892,Support,3.53,27,81159.42
766,371,Research and Development,4.3,2,36969.41
767,875,Research and Development,3.46,17,76693.42
768,156,Support,2.18,20,66312.1
769,849,Engineering,4.13,17,66421.87
770,726,Marketing,4.95,13,69948.5
771,620,Product Management,3.99,15,41879.05
772,960,Business Development,1.59,25,37856.73
773,400,Training,4.76,17,98174.47
774,724,Business Development,4.85,0,52938.73
775,32,Human Resources,4.11,26,76569.37
776,382,Human Resources,1.63,27,45174.72
777,742,Training,1.11,4,56007.47
778,661,Sales,1.23,12,82029.34
779,780,Support,4.18,0,95153.34
780,514,Research and Development,2.55,4,34795.75
781,303,Training,2.61,25,77423.16
782,885,Training,2.93,22,62282.88
783,139,Human Resources,1.1,26,50588.95
784,645,Sales,2.84,10,88715.26
785,371,Product Management,3.22,13,66143.91
786,101,Accounting,1.03,17,36949.91
787,246,Services,4.44,23,67219.0
788,669,Business Development,3.85,12,68069.38
789,253,Product Management,4.85,16,94093.32
790,217,Support,1.77,3,33827.33
791,440,Research and Development,1.45,23,38224.08
792,634,Business Development,1.68,24,51412.79
793,231,Product Management,4.58,16,98837.1
794,640,Business Development,1.02,17,63861.3
795,683,Product Management,2.54,21,47134.35
796,22,Sales,3.94,11,79142.81
797,951,Research and Development,3.16,13,79465.9
798,568,Support,4.1,9,88267.85
799,45,Product Management,2.29,5,38283.49
800,872,Engineering,2.15,23,41522.41
801,257,Product Management,3.07,8,39591.86
802,34,Research and Development,2.1,15,31948.96
803,940,Research and Development,1.28,17,72650.69
804,314,Accounting,3.06,14,43683.44
805,6,Accounting,3.11,26,77388.44
806,508,Business Development,3.76,4,37292.05
807,616,Legal,3.48,11,47479.09
808,203,Product Management,4.17,10,47930.0
809,692,Product Management,3.68,4,45090.23
810,419,Services,1.32,13,58990.98
811,829,Sales,1.54,19,40018.66
812,336,Research and Development,2.79,23,99082.65
813,932,Research and Development,4.38,25,55453.94
814,989,Services,3.01,20,31356.07
815,573,Research and Development,4.58,17,77358.6
816,943,Services,3.56,10,87435.73
817,222,Marketing,1.27,21,53087.9
818,378,Human Resources,1.78,26,79815.18
819,226,Training,3.68,27,90640.45
820,544,Training,4.59,13,41600.63
821,526,Marketing,4.57,6,82045.24
822,102,Product Management,2.16,4,43633.81
823,162,Research and Development,3.42,30,78096.49
824,912,Legal,4.34,25,45521.22
825,913,Training,4.16,29,41299.3
826,183,Research and Development,3.52,20,55836.37
827,108,Human Resources,2.35,7,79091.97
828,581,Engineering,1.65,27,92866.07
829,132,Human Resources,3.93,4,35985.16
830,184,Engineering,3.68,6,62144.9
831,772,Engineering,1.82,23,93012.76
832,773,Marketing,1.45,12,33475.26
833,652,Research and Development,4.81,6,97917.78
834,730,Services,1.67,23,47746.17
835,660,Research and Development,1.82,8,83997.5
836,487,Legal,2.35,30,87662.15
837,580,Sales,3.11,23,66413.89
838,914,Services,4.86,25,83550.62
839,501,Engineering,4.59,30,56994.47
840,484,Accounting,4.5,14,46272.58
841,938,Research and Development,4.65,23,59435.62
842,822,Research and Development,3.36,3,93459.62
843,92,Product Management,4.07,24,69611.17
844,815,Research and Development,1.97,14,90055.92
845,803,Marketing,4.14,11,45741.22
846,905,Training,1.63,4,86002.07
847,171,Support,3.97,19,41600.23
848,206,Sales,4.4,1,39828.3
849,506,Sales,3.37,13,78903.53
850,638,Research and Development,1.74,30,46030.61
851,64,Sales,4.91,5,89378.97
852,943,Training,4.1,17,94030.55
853,551,Business Development,1.33,26,62461.39
854,152,Training,3.29,21,98769.84
855,831,Accounting,1.95,26,61831.13
856,526,Research and Development,3.6,20,60956.27
857,692,Business Development,4.66,11,90854.47
858,597,Training,4.98,11,78742.77
859,555,Training,3.67,10,92616.39
860,653,Product Management,3.73,29,81790.51
861,847,Services,3.84,25,69592.03
862,509,Support,3.09,1,80990.03
863,125,Human Resources,2.54,28,34446.42
864,460,Product Management,3.91,23,58568.2
865,188,Engineering,1.42,16,42066.39
866,749,Research and Development,2.21,0,65470.91
867,731,Engineering,1.35,21,39634.61
868,534,Marketing,2.08,6,41726.14
869,705,Product Management,1.15,20,40760.73
870,562,Research and Development,1.94,13,49875.03
871,831,Sales,3.93,16,75524.07
872,950,Business Development,3.0,26,60440.82
873,713,Marketing,1.71,29,31261.77
874,464,Accounting,2.73,27,92339.76
875,639,Services,3.65,0,76551.71
876,348,Business Development,4.43,0,44800.02
877,865,Services,1.91,10,34872.71
878,846,Research and Development,3.91,29,60762.94
879,511,Human Resources,3.7,9,87736.23
880,770,Engineering,4.73,6,45274.37
881,22,Sales,3.28,22,59529.74
882,976,Support,2.46,19,48616.23
883,733,Training,3.11,15,57123.56
884,882,Sales,2.88,12,72690.19
885,930,Support,1.07,3,96264.12
886,59,Accounting,4.24,8,68502.27
887,300,Accounting,1.36,22,69457.75
888,459,Support,4.82,23,91564.06
889,175,Product Management,4.8,11,82218.74
890,509,Research and Development,2.92,19,61002.17
891,406,Business Development,2.63,9,95996.06
892,284,Product Management,4.95,5,90121.9
893,92,Sales,3.27,25,41161.14
894,180,Marketing,2.2,24,95290.79
895,62,Business Development,1.67,23,54894.49
896,540,Sales,1.43,10,96235.22
897,555,Legal,4.17,8,95402.46
898,643,Sales,3.88,6,49010.3
899,921,Product Management,3.38,7,90972.1
900,131,Legal,1.52,25,67592.9
901,740,Training,3.86,28,84420.98
902,269,Marketing,3.96,24,38144.22
903,48,Marketing,2.85,29,93920.41
904,697,Research and Development,4.09,20,97794.02
905,733,Product Management,3.38,4,51556.96
906,671,Sales,3.15,20,71819.99
907,104,Business Development,2.72,29,94385.75
908,155,Research and Development,4.12,30,72949.29
909,605,Legal,2.02,20,33892.86
910,397,Services,1.36,5,71415.67
911,424,Sales,3.09,26,52354.51
912,967,Marketing,4.21,15,96924.69
913,602,Engineering,3.64,12,57490.93
914,410,Training,2.97,27,97487.52
915,80,Accounting,4.33,29,70421.56
916,224,Support,3.84,4,60131.47
917,366,Product Management,1.39,14,89566.5
918,593,Training,1.11,19,37297.56
919,494,Marketing,3.15,6,40942.43
920,603,Business Development,3.7,16,49032.67
921,360,Accounting,1.8,30,36250.89
922,814,Research and Development,1.36,14,95049.16
923,299,Marketing,4.49,19,50599.51
924,943,Engineering,3.56,3,64300.45
925,986,Research and Development,3.37,30,95016.85
926,685,Marketing,1.62,21,97565.08
927,682,Engineering,1.66,20,35064.14
928,873,Accounting,4.3,9,40709.16
929,503,Accounting,2.49,7,36715.76
930,903,Support,4.8,22,35216.72
931,469,Services,1.52,28,98786.05
932,880,Research and Development,3.67,23,57579.39
933,752,Business Development,3.33,3,83632.78
934,378,Business Development,4.39,22,40849.83
935,829,Engineering,4.39,25,86457.29
936,611,Human Resources,4.24,28,70852.18
937,40,Training,1.77,22,49253.78
938,596,Business Development,3.51,23,97099.54
939,294,Human Resources,2.07,19,66474.8
940,825,Training,2.5,30,45802.28
941,384,Accounting,3.88,21,77625.43
942,25,Engineering,3.14,13,34076.09
943,921,Support,3.77,16,76422.59
944,621,Support,4.07,10,47810.85
945,648,Human Resources,1.46,12,49187.3
946,578,Sales,4.18,30,92787.94
947,370,Product Management,4.48,25,57891.92
948,90,Research and Development,4.96,22,66688.09
949,123,Sales,3.04,26,35607.29
950,723,Engineering,3.58,6,49119.41
951,338,Sales,3.36,20,73725.6
952,964,Accounting,4.8,17,37647.47
953,770,Research and Development,1.09,2,98433.74
954,21,Business Development,4.27,29,49574.81
955,170,Legal,4.62,19,90593.28
956,835,Marketing,1.5,7,64071.06
957,944,Sales,4.35,5,53672.73
958,377,Legal,1.89,5,47605.49
959,278,Marketing,4.11,15,70530.19
960,102,Sales,5.0,15,60849.55
961,270,Research and Development,2.61,1,38113.47
962,882,Training,2.38,15,93590.59
963,222,Business Development,3.47,15,61349.37
964,548,Legal,1.34,5,60348.02
965,583,Support,2.82,26,94804.98
966,664,Sales,2.95,12,51861.28
967,960,Product Management,3.41,18,68638.62
968,76,Training,2.43,26,92109.89
969,271,Product Management,1.08,7,65706.9
970,769,Sales,2.6,28,39981.18
971,146,Marketing,4.28,28,72321.75
972,701,Training,4.47,0,75264.81
973,5,Training,2.92,2,39044.32
974,962,Product Management,2.26,25,49786.39
975,507,Training,1.78,25,35812.07
976,488,Services,3.98,24,38864.83
977,666,Marketing,1.76,30,59917.01
978,632,Legal,3.36,22,56758.63
979,269,Business Development,2.26,18,98985.82
980,846,Product Management,1.6,21,46510.0
981,921,Training,4.35,10,41441.85
982,863,Engineering,2.78,24,78858.16
983,985,Human Resources,2.98,21,91264.82
984,257,Marketing,3.58,30,50137.04
985,226,Training,2.53,29,57586.69
986,658,Engineering,3.67,2,77975.87
987,838,Services,2.9,20,82497.14
988,40,Legal,4.11,3,92565.18
989,763,Product Management,1.39,29,35010.69
990,985,Engineering,4.12,1,38693.37
991,388,Sales,4.33,1,42059.85
992,819,Training,2.23,5,78992.28
993,58,Support,4.34,2,76741.52
994,639,Product Management,3.19,19,63834.29
995,132,Support,4.64,4,81318.95
996,589,Legal,3.46,2,81092.02
997,896,Support,2.91,6,55102.25
998,249,Business Development,3.43,10,53695.61
999,178,Legal,2.35,11,72069.14
1000,486,Product Management,1.55,9,32843.51
